SampleID,Date,Treatment,lake,seqnames,seqlength,mapped,rpkm,rpkm_relative_abundance,TPM,TPM_relative_abundance
ND-2,18_06_28,control,LE,Microcystis_M_QC_C_20170808_M2Col;117_148_1,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_M_QC_C_20170808_M3Col;116_123_0,852,1,4.28E-06,0.064436547,644.3654654,0.064436547
ND-2,18_06_28,control,LE,Microcystis_M_QC_C_20170808_M9Col;46_191_1,852,12,5.13E-05,0.773238559,7732.385585,0.773238559
ND-2,18_06_28,control,LE,Microcystis_Msp_OC_L_20101000_S702;109_17_10,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_T1-4;79_11_2,852,5,2.14E-05,0.322182733,3221.827327,0.322182733
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_11-30S32;17_16_2,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_BK11-02;54_136_4,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_BS11-05;26_150_8,852,6,2.57E-05,0.386619279,3866.192793,0.386619279
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_BS13-02;114_114_14,852,2,8.56E-06,0.128873093,1288.730931,0.128873093
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_BS13-10;70_171_8,852,21,8.98E-05,1.353167477,13531.67477,1.353167477
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_CACIAM_03;110_1_11,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_CHAOHU_1326;141_171_11,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_DA14;3_8_418,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_DIANCHI905;7_154_11,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_EAWAG127a;155_0_451,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_F13-15;157_55_7,852,6,2.57E-05,0.386619279,3866.192793,0.386619279
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_FACHB-524;165_100_300,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_FCY-26;121_1452_1,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_FCY-27;28_1478_1,168,0,0,0,0,0
