old	short_name	tip.label	group	hex_col	WLECC	Marvin_choice
Microcystis_aeruginosa_LG13_13	LG13_13	Microcystis_aeruginosa_LG13-13	Mae10	#FFE699	FALSE	FALSE
Microcystis_aeruginosa_LL11_07	LL11_07	Microcystis_aeruginosa_LL11-07	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_LL13_03	LL13_03	Microcystis_aeruginosa_LL13-03	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_LL13_06	LL13_06	Microcystis_aeruginosa_LL13-06	Mae2_(HL/LG)	#7030A0	FALSE	FALSE
Microcystis_aeruginosa_Ma_AC_P_19900807_S299	MaACPS299	Microcystis_aeruginosa_Ma_AC_P_19900807_S299	Mae7	#BF8F00	FALSE	FALSE
Microcystis_aeruginosa_Ma_AC_P_19900807_S300	MaACPS300	Microcystis_aeruginosa_Ma_AC_P_19900807_S300	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_Ma_MB_F_20061100_S19	MaMBFS19	Microcystis_aeruginosa_Ma_MB_F_20061100_S19	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_Ma_MB_F_20061100_S19D	MaMBFS19D	Microcystis_aeruginosa_Ma_MB_F_20061100_S19D	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_Ma_MB_F_20061100_S20	MaMBFS20	Microcystis_aeruginosa_Ma_MB_F_20061100_S20	Mae5	#9BC2E6	FALSE	FALSE
Microcystis_aeruginosa_Ma_MB_F_20061100_S20D	MaMBFS20D	Microcystis_aeruginosa_Ma_MB_F_20061100_S20D	Mae5	#9BC2E6	FALSE	FALSE
Microcystis_aeruginosa_Ma_MB_S_20031200_S102	MaMBSS102	Microcystis_aeruginosa_Ma_MB_S_20031200_S102	Mae6	#185712	FALSE	FALSE
Microcystis_aeruginosa_Ma_MB_S_20031200_S102D	MaMBSS102D	Microcystis_aeruginosa_Ma_MB_S_20031200_S102D	Mae6	#185712	FALSE	FALSE
Microcystis_aeruginosa_Ma_OC_H_19870700_S124	MaOCHS124	Microcystis_aeruginosa_Ma_OC_H_19870700_S124	Mae8	#803C00	FALSE	FALSE
Microcystis_aeruginosa_Ma_OC_LR_19540900_S633	MaOCLRS633	Microcystis_aeruginosa_Ma_OC_LR_19540900_S633	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_Ma_QC_B_20070730_S2	MaQCBS2	Microcystis_aeruginosa_Ma_QC_B_20070730_S2	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_Ma_QC_C_20070703_M131	MaQCCM131	Microcystis_aeruginosa_Ma_QC_C_20070703_M131	Mae9	#70AD47	FALSE	FALSE
Microcystis_aeruginosa_Ma_QC_C_20070823_S13	MaQCCS13	Microcystis_aeruginosa_Ma_QC_C_20070823_S13	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_Ma_QC_C_20070823_S13D	MaQCCS13D	Microcystis_aeruginosa_Ma_QC_C_20070823_S13D	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_Ma_QC_Ca_00000000_S207	MaQCCaS207	Microcystis_aeruginosa_Ma_QC_Ca_00000000_S207	Mae2_(HL/LG)	#7030A0	FALSE	FALSE
Microcystis_aeruginosa_Ma_QC_Ch_20071001_M135	MaQCChM135	Microcystis_aeruginosa_Ma_QC_Ch_20071001_M135	Mae2_(HL/LG)	#7030A0	FALSE	FALSE
Microcystis_aeruginosa_Ma_QC_Ch_20071001_S25	MaQCChS25	Microcystis_aeruginosa_Ma_QC_Ch_20071001_S25	Mae2_(HL/LG)	#7030A0	FALSE	FALSE
Microcystis_aeruginosa_Ma_QC_Ch_20071001_S25D	MaQCChS25D	Microcystis_aeruginosa_Ma_QC_Ch_20071001_S25D	Mae2_(HL/LG)	#7030A0	FALSE	FALSE
Microcystis_aeruginosa_Ma_SC_T_19800800_S464	MaSCTS464	Microcystis_aeruginosa_Ma_SC_T_19800800_S464	Other	#000000	FALSE	FALSE
Microcystis_aeruginosa_NaRes975	NaRes975	Microcystis_aeruginosa_NaRes975	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_NIES_1211	NIES_1211	Microcystis_aeruginosa_NIES-1211	Mfl_ae2	#FFA100	FALSE	FALSE
Microcystis_aeruginosa_NIES_2481	NIES_2481	Microcystis_aeruginosa_NIES-2481	Mfl_ae4	#FF6800	FALSE	FALSE
Microcystis_aeruginosa_NIES_2519	NIES_2519	Microcystis_aeruginosa_NIES-2519	Mfl_ae2	#FFA100	FALSE	FALSE
Microcystis_aeruginosa_NIES_2520	NIES_2520	Microcystis_aeruginosa_NIES-2520	Mae3_2	#BFBFBF	FALSE	FALSE
